Age,Industry,JobTitle,AnnualSalary,AdditionalCompensation,State,City,YearsExperience,YearsInField,Education,Gender,Race,TotalCompensation,id
45-54,Nonprofits,Director congregational engagement and support ,130000,0.0,Colorado,Denver,21 - 30 years,21 - 30 years,Master's degree,Woman,White,130000.0,8.0
35-44,Health care,Administrative Coordinator ,56160,0.0,Massachusetts,Boston,11 - 20 years,11 - 20 years,College degree,Woman,White,56160.0,25.0
45-54,Education (Higher Education),Program Assistant 3,45437,0.0,Iowa,Ames,11 - 20 years,11 - 20 years,College degree,Woman,White,45437.0,19.0
35-44,Computing or Tech,"Senior Director, Web and Digital",280000,200000.0,California,San Francisco,11 - 20 years,11 - 20 years,Master's degree,Man,Asian or Asian American,480000.0,6.0
35-44,Engineering or Manufacturing,Human Resources Manager,102000,10000.0,Pennsylvania,St. Marys,11 - 20 years,11 - 20 years,College degree,Man,White,112000.0,42.0
25-34,Computing or Tech,Software QA Analyst,92000,15000.0,Illinois,Chicago,5-7 years,5-7 years,College degree,Man,Asian or Asian American,107000.0,17.0
35-44,Computing or Tech,Community Manager,65000,0.0,New York,Troy,5-7 years,2 - 4 years,College degree,Woman,White,65000.0,36.0
25-34,Government and Public Administration,Environmental health scientist,72000,0.0,Pennsylvania,Philadelphia,5-7 years,5-7 years,College degree,Woman,White,72000.0,42.0
45-54,Engineering or Manufacturing,Executive Assistant,55000,500.0,Texas,Houston,21 - 30 years,21 - 30 years,College degree,Woman,White,55500.0,48.0
25-34,"Accounting, Banking & Finance",People Operations Manager,95000,25000.0,New York,New York,11 - 20 years,2 - 4 years,College degree,Woman,White,120000.0,36.0
35-44,Engineering or Manufacturing,Human Resources Manager,102000,10000.0,Pennsylvania,St. Marys,11 - 20 years,11 - 20 years,College degree,Man,White,112000.0,42.0
35-44,Law,Partner,189000,40000.0,Louisiana,Lafayette,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White,229000.0,22.0
18-24,Engineering or Manufacturing,Transportation Engineer II,79000,1500.0,New York,New York,2 - 4 years,2 - 4 years,College degree,Non-binary,White,80500.0,36.0
25-34,"Marketing, Advertising & PR",Digital Marketing Manager,85000,15000.0,Ohio,Cleveland,8 - 10 years,5-7 years,College degree,Woman,White,100000.0,39.0
25-34,Computing or Tech,SWE,250000,0.0,New York,NYC,2 - 4 years,2 - 4 years,College degree,Woman,Black or African American,250000.0,36.0
25-34,Health care,Associate General Counsel,235000,0.0,Virginia,Falls Church,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,235000.0,51.0
55-64,Nonprofits,For of HR,97000,0.0,Montana,Missoula ,21 - 30 years,21 - 30 years,Master's degree,Woman,White,97000.0,30.0
25-34,Computing or Tech,International Partner Marketing Manager,80000,8000.0,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White,88000.0,25.0
25-34,Computing or Tech,"Team manger, user services",100000,0.0,Massachusetts,Boston,8 - 10 years,5-7 years,College degree,Woman,White,100000.0,25.0
25-34,Education (Primary/Secondary),Math Teacher,49097,0.0,Ohio,Columbus,2 - 4 years,2 - 4 years,Master's degree,Woman,White,49097.0,39.0
35-44,Health care,Staff RN,68000,500.0,Georgia,Marietta,11 - 20 years,2 - 4 years,College degree,Woman,White,68500.0,13.0
25-34,Computing or Tech,Software Engineer,100000,0.0,Wisconsin,Madison ,2 - 4 years,2 - 4 years,College degree,Man,White,100000.0,55.0
25-34,"Accounting, Banking & Finance",Technical Support Engineer,54000,0.0,Virginia,Richmond,2 - 4 years,2 - 4 years,Some college,Woman,Black or African American,54000.0,51.0
25-34,Engineering or Manufacturing,Software engineer,180000,0.0,California,San Francisco,11 - 20 years,5-7 years,College degree,Woman,Asian or Asian American,180000.0,6.0
25-34,Government and Public Administration,Talent Acquisition Supervisor,81100,0.0,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman,Asian or Asian American,81100.0,27.0
45-54,Health care,Application Engineer Lead,110000,0.0,Colorado,Denver,31 - 40 years,11 - 20 years,College degree,Woman,White,110000.0,8.0
35-44,Computing or Tech,Senior UX Designer,160000,0.0,New Mexico,Albuquerque,11 - 20 years,11 - 20 years,Master's degree,Woman,White,160000.0,35.0
45-54,Nonprofits,HR Business Partner,67600,0.0,Washington,Seattle,21 - 30 years,21 - 30 years,Some college,Woman,White,67600.0,53.0
45-54,Nonprofits,HR Generalist ,46000,0.0,Indiana,Indianapolis ,11 - 20 years,2 - 4 years,College degree,Woman,White,46000.0,18.0
35-44,"Accounting, Banking & Finance",Controller,85000,10000.0,Florida,Tampa,11 - 20 years,8 - 10 years,College degree,Woman,White,95000.0,12.0
35-44,Computing or Tech,Senior Program Analyst,74000,1500.0,Virginia,Vienna,11 - 20 years,5-7 years,Master's degree,Woman,White,75500.0,51.0
35-44,Education (Higher Education),Research Assistant Professor,75000,0.0,Missouri,St. Louis,11 - 20 years,11 - 20 years,PhD,Woman,White,75000.0,29.0
25-34,Health care,Resident physician ,51797,0.0,Mississippi,"Jackson, MS",2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American,51797.0,28.0
25-34,Computing or Tech,Software Engineer,250000,0.0,New York,New York,8 - 10 years,8 - 10 years,College degree,Man,Asian or Asian American,250000.0,36.0
35-44,"Marketing, Advertising & PR",Lead Copywriter,67000,0.0,Maine,portland,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,White,67000.0,23.0
35-44,Law,Associate,177500,15000.0,Ohio,"Columbus, OH",11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Man,"Black or African American, White",192500.0,39.0
35-44,Engineering or Manufacturing,Business Owner,156000,30000.0,Illinois,Freeport,11 - 20 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Man,White,186000.0,17.0
25-34,Health care,Marketing Manager,85000,0.0,Ohio,Remote,5-7 years,5-7 years,Master's degree,Woman,Another option not listed here or prefer not to answer,85000.0,39.0
25-34,Engineering or Manufacturing,HR Generalist,60000,12000.0,Ohio,Jackson Center ,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",72000.0,39.0
25-34,Health care,Statistician II,92000,0.0,Illinois,Chicago,8 - 10 years,8 - 10 years,Master's degree,Man,White,92000.0,17.0
25-34,Engineering or Manufacturing,HR Assistant,43000,0.0,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Non-binary,White,43000.0,27.0
45-54,Education (Primary/Secondary),HR Director,90000,0.0,Oregon,Portland,11 - 20 years,11 - 20 years,College degree,Woman,White,90000.0,41.0
18-24,Education (Higher Education),Program Coordinator,34500,0.0,South Carolina,Columbia,1 year or less,1 year or less,Master's degree,Woman,White,34500.0,45.0
25-34,Engineering or Manufacturing,"Safety, Health, & Environmental Manager",100000,15000.0,Illinois,Chicago,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",115000.0,17.0
35-44,"Accounting, Banking & Finance",Senior Data architect,146000,12000.0,Arizona,Phoenix,11 - 20 years,8 - 10 years,Master's degree,Man,White,158000.0,4.0
25-34,Nonprofits,Program Director,64000,1000.0,Tennessee,Memphis,2 - 4 years,2 - 4 years,College degree,Man,White,65000.0,47.0
35-44,"Marketing, Advertising & PR",Senior Marketing Specialist,64000,0.0,North Carolina,Wilmington,11 - 20 years,5-7 years,Master's degree,Woman,White,64000.0,37.0
25-34,Health care,Marketing Manager,85000,0.0,Ohio,Remote,5-7 years,5-7 years,Master's degree,Woman,Another option not listed here or prefer not to answer,85000.0,39.0
45-54,Education (Higher Education),Data Engineer,89000,0.0,Indiana,Indianapolis,11 - 20 years,5-7 years,College degree,Man,White,89000.0,18.0
35-44,Computing or Tech,VP of Operations,145000,10000.0,Missouri,Kansas City,11 - 20 years,11 - 20 years,College degree,Man,White,155000.0,29.0
35-44,Engineering or Manufacturing,Sr. Human Resources Generalisr,96000,0.0,California,Pleasanton,8 - 10 years,8 - 10 years,Master's degree,Woman,White,96000.0,6.0
35-44,Computing or Tech,Software engineer,166400,0.0,Nebraska,Omaha,11 - 20 years,11 - 20 years,College degree,Man,White,166400.0,31.0
55-64,Engineering or Manufacturing,Accounting manager ,70000,10000.0,Texas,Houston ,31 - 40 years,11 - 20 years,Some college,Woman,White,80000.0,48.0
45-54,Computing or Tech,Information Security Architect,267000,145000.0,New York,NYC,11 - 20 years,11 - 20 years,Master's degree,Man,White,412000.0,36.0
25-34,Computing or Tech,DevOps Engineer,134000,0.0,Illinois,Chicago,8 - 10 years,5-7 years,Some college,Man,White,134000.0,17.0
25-34,Government and Public Administration,Sr Financial Planner,100000,6000.0,Washington,Seattle,5-7 years,2 - 4 years,Master's degree,Woman,White,106000.0,53.0
55-64,Law,Legal assistant ,56000,1000.0,Illinois,Chicago,31 - 40 years,2 - 4 years,College degree,Woman,White,57000.0,17.0
35-44,Law,Senior Deputy City Attorney,125000,0.0,California,Bakersfield,11 - 20 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White,125000.0,6.0
35-44,Computing or Tech,Web Developer ,120000,0.0,Tennessee,Chattanooga,21 - 30 years,21 - 30 years,Master's degree,Non-binary,White,120000.0,47.0
25-34,Engineering or Manufacturing,Engineer III,86600,0.0,Maine,Bath,11 - 20 years,8 - 10 years,College degree,Woman,White,86600.0,23.0
45-54,Education (Higher Education),Digital Scholarship Specialist,94929,0.0,New York,Buffalo,21 - 30 years,21 - 30 years,Master's degree,Woman,White,94929.0,36.0
45-54,Engineering or Manufacturing,HRBP,90000,0.0,Oregon,Portland ,21 - 30 years,21 - 30 years,College degree,Woman,White,90000.0,41.0
45-54,Computing or Tech,Product Manager,142000,0.0,North Carolina,RTP (Raleigh-Durham),21 - 30 years,21 - 30 years,Master's degree,Woman,White,142000.0,37.0
35-44,Nonprofits,Business Development Manager,115000,0.0,Maryland,Baltimore,11 - 20 years,11 - 20 years,Master's degree,Man,White,115000.0,24.0
25-34,"Marketing, Advertising & PR",Marketing Coordinator,54900,1100.0,Georgia,Atlanta,5-7 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",56000.0,13.0
25-34,"Accounting, Banking & Finance",Financial Planner,93000,10000.0,Indiana,Indianapolis,5-7 years,5-7 years,College degree,Woman,White,103000.0,18.0
25-34,Education (Higher Education),Development Associate,52000,0.0,North Carolina,Durham,8 - 10 years,5-7 years,College degree,Woman,White,52000.0,37.0
25-34,Education (Higher Education),Digital Library Cataloger,40000,0.0,North Dakota,Dickinson,2 - 4 years,2 - 4 years,Master's degree,Man,White,40000.0,38.0
25-34,"Marketing, Advertising & PR","Associate Manager, Marketing",93600,0.0,New York,NYC,8 - 10 years,8 - 10 years,College degree,Woman,White,93600.0,36.0
35-44,Computing or Tech,Head of Product,168500,16850.0,Massachusetts,Boston,21 - 30 years,21 - 30 years,College degree,Man,White,185350.0,25.0
25-34,Nonprofits,"Manager, Gift Processing and Data Management",60000,0.0,District of Columbia,"Washington, DC",5-7 years,2 - 4 years,College degree,Woman,White,60000.0,11.0
18-24,Computing or Tech,Data and Reporting Analyst,70000,0.0,Michigan,Detroit,2 - 4 years,2 - 4 years,College degree,Man,Asian or Asian American,70000.0,26.0
55-64,Nonprofits,Lead Advocate,50830,0.0,Arkansas,Fayetteville,31 - 40 years,21 - 30 years,Master's degree,Woman,White,50830.0,5.0
35-44,Computing or Tech,Threat Hunter,93000,0.0,Illinois,Bloomington,11 - 20 years,8 - 10 years,Some college,Woman,White,93000.0,17.0
35-44,Computing or Tech,Web Developer,88000,500.0,Pennsylvania,Pittsburgh,11 - 20 years,11 - 20 years,College degree,Man,White,88500.0,42.0
35-44,Computing or Tech,Software Engineer,165000,0.0,New York,New York,11 - 20 years,5-7 years,College degree,Man,White,165000.0,36.0
35-44,Education (Higher Education),Human Resources Generalist,48701,0.0,Texas,Gainesville,8 - 10 years,2 - 4 years,College degree,Woman,White,48701.0,48.0
25-34,Law,Attorney,125000,10000.0,Connecticut,Hartford,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White,135000.0,9.0
45-54,Computing or Tech,Tech Staff 4 - Architect ,189000,10000.0,California,Sunnyvale,21 - 30 years,11 - 20 years,College degree,Woman,White,199000.0,6.0
35-44,Computing or Tech,Senior Solutions Architect,210000,0.0,Colorado,Denver,11 - 20 years,8 - 10 years,Master's degree,Man,White,210000.0,8.0
35-44,Nonprofits,Senior Director of Digital Marketing,150000,5000.0,New York,NYC,11 - 20 years,11 - 20 years,College degree,Man,White,155000.0,36.0
25-34,Education (Higher Education),Humanities graduate student,34000,0.0,Connecticut,New Haven,2 - 4 years,2 - 4 years,Master's degree,Woman,White,34000.0,9.0
25-34,Computing or Tech,Developer,80000,500.0,Ohio,Dayton,11 - 20 years,5-7 years,College degree,Woman,White,80500.0,39.0
35-44,Computing or Tech,Software Senior Engineer,135000,13500.0,Iowa,Des Moines,11 - 20 years,11 - 20 years,College degree,Man,White,148500.0,19.0
35-44,"Marketing, Advertising & PR",Senior Strategist,108000,1000.0,California,San Diego,11 - 20 years,11 - 20 years,College degree,Man,White,109000.0,6.0
35-44,Computing or Tech,Senior Software Engineer,400000,50000.0,New York,New York,11 - 20 years,11 - 20 years,Master's degree,Man,White,450000.0,36.0
45-54,Law,Commercial Counsel,158700,15870.0,Pennsylvania,Philadelphia,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,174570.0,42.0
35-44,Computing or Tech,Product Manager,138490,0.0,Tennessee,Chattanooga,11 - 20 years,8 - 10 years,High School,Man,White,138490.0,47.0
25-34,Computing or Tech,Associate Product Manager,57500,0.0,North Carolina,Durham,5-7 years,1 year or less,College degree,Woman,White,57500.0,37.0
35-44,"Accounting, Banking & Finance",Software Engineer,250000,500000.0,New York,New York,8 - 10 years,8 - 10 years,Master's degree,Man,White,750000.0,36.0
25-34,Computing or Tech,Senior Copywriter,85000,0.0,New York,New York,8 - 10 years,5-7 years,College degree,Woman,White,85000.0,36.0
25-34,Computing or Tech,"Senior Software Engineer, Devops",192000,38000.0,New York,New York City,5-7 years,5-7 years,College degree,Man,White,230000.0,36.0
25-34,Engineering or Manufacturing,Software Engineer II,120000,0.0,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman,White,120000.0,25.0
35-44,Computing or Tech,Software Engineer,129000,25000.0,New York,New York,8 - 10 years,2 - 4 years,Some college,Man,"Middle Eastern or Northern African, White, Another option not listed here or prefer not to answer",154000.0,36.0
18-24,Computing or Tech,Software engineer,118000,0.0,New York,New York,2 - 4 years,1 year or less,College degree,Woman,White,118000.0,36.0
25-34,Computing or Tech,Production Engineer,205000,190000.0,California,San Francisco,11 - 20 years,11 - 20 years,High School,Other or prefer not to answer,White,395000.0,6.0
18-24,Computing or Tech,Software engineer,118000,0.0,New York,New York,2 - 4 years,1 year or less,College degree,Woman,White,118000.0,36.0
35-44,Education (Higher Education),Human Resources Representative,43829,0.0,Texas,San Marcos,8 - 10 years,5-7 years,College degree,Woman,White,43829.0,48.0
45-54,Nonprofits,Senior HR Generalist,65000,0.0,California,Irvine ,21 - 30 years,5-7 years,College degree,Woman,White,65000.0,6.0
45-54,Education (Higher Education),Associate Professor of Instruction,81200,0.0,Texas,Dallas,11 - 20 years,11 - 20 years,PhD,Woman,White,81200.0,48.0
35-44,Computing or Tech,"Engineering Manager, DevOps",185000,0.0,Florida,Dunedin,11 - 20 years,21 - 30 years,College degree,Man,White,185000.0,12.0
35-44,Education (Higher Education),Teaching practicum supervisor,1000,0.0,Pennsylvania,Chambersburg,11 - 20 years,11 - 20 years,Master's degree,Woman,White,1000.0,42.0
35-44,Education (Higher Education),Associate Professor,59751,0.0,Illinois,Bloomington,11 - 20 years,11 - 20 years,PhD,Woman,White,59751.0,17.0
35-44,Computing or Tech,Director of DevOps Engineering,154000,20000.0,North Carolina,Raleigh,11 - 20 years,11 - 20 years,College degree,Woman,White,174000.0,37.0
25-34,Engineering or Manufacturing,Robotics Software Engineer,115000,0.0,Colorado,Boulder,2 - 4 years,2 - 4 years,College degree,Man,White,115000.0,8.0
35-44,Nonprofits,Director,127000,11430.0,District of Columbia,Washington,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,138430.0,11.0
35-44,Health care,Operations supervisor ,51500,2500.0,West Virginia,Parkersburg ,11 - 20 years,8 - 10 years,Master's degree,Woman,White,54000.0,54.0
25-34,Computing or Tech,Software Engineer II,85000,5500.0,Massachusetts,Tewksbury,2 - 4 years,2 - 4 years,College degree,Woman,White,90500.0,25.0
45-54,Education (Higher Education),Finance Specialist,60000,0.0,California,Long Beach,21 - 30 years,2 - 4 years,Some college,Woman,"Hispanic, Latino, or Spanish origin, White",60000.0,6.0
55-64,Computing or Tech,Manager Software Development,200000,10000.0,Vermont,Huntington,21 - 30 years,21 - 30 years,PhD,Man,White,210000.0,50.0
55-64,Health care,Data Analyst,50000,0.0,Texas,Dallas,41 years or more,21 - 30 years,College degree,Woman,White,50000.0,48.0
35-44,Nonprofits,Energy General Manager,66560,0.0,California,"Weed, CA",11 - 20 years,5-7 years,College degree,Woman,White,66560.0,6.0
25-34,Health care,Registered Nurse,76000,5000.0,Massachusetts,Boston,5-7 years,2 - 4 years,College degree,Woman,White,81000.0,25.0
18-24,Engineering or Manufacturing,HR Generalist,58000,5000.0,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White,63000.0,27.0
35-44,Computing or Tech,Senior QA Engineer,86500,0.0,Georgia,Atlanta,11 - 20 years,2 - 4 years,Some college,Man,White,86500.0,13.0
35-44,Law,Knowledge and Innovation Manager,87000,5000.0,Pennsylvania,Philadelphia ,11 - 20 years,8 - 10 years,College degree,Woman,White,92000.0,42.0
25-34,Computing or Tech,Senior Software Engineer,140000,0.0,New York,New York,5-7 years,2 - 4 years,Master's degree,Woman,White,140000.0,36.0
25-34,Health care,HR manager,52000,2000.0,Colorado,Durango,8 - 10 years,2 - 4 years,College degree,Woman,White,54000.0,8.0
35-44,Computing or Tech,Product manager,184000,130000.0,California,San Francisco ,11 - 20 years,8 - 10 years,College degree,Man,White,314000.0,6.0
35-44,"Accounting, Banking & Finance",Executive director,207000,80000.0,New York,New York,11 - 20 years,5-7 years,College degree,Woman,"Middle Eastern or Northern African, White",287000.0,36.0
35-44,Education (Higher Education),Program Coordinator,52248,0.0,Ohio,Columbus,11 - 20 years,11 - 20 years,PhD,Non-binary,White,52248.0,39.0
25-34,Government and Public Administration,General Manager,126000,25000.0,Texas,Houston ,11 - 20 years,5-7 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin",151000.0,48.0
35-44,Computing or Tech,Senior Software Engineer,165000,0.0,Georgia,Atlanta,11 - 20 years,11 - 20 years,Some college,Man,White,165000.0,13.0
25-34,Government and Public Administration,Digital Director,63000,0.0,Pennsylvania,Harrisburg,8 - 10 years,11 - 20 years,College degree,Man,White,63000.0,42.0
25-34,Engineering or Manufacturing,Scientist 1,82000,1700.0,California,Alameda,2 - 4 years,5-7 years,PhD,Woman,Black or African American,83700.0,6.0
35-44,Education (Higher Education),"Associate Director, Arts Library",86000,0.0,Connecticut,New Haven,11 - 20 years,11 - 20 years,Master's degree,Woman,Asian or Asian American,86000.0,9.0
25-34,"Accounting, Banking & Finance","Senior Manager, Learning and Development",85000,0.0,Kentucky,Louisville,8 - 10 years,5-7 years,College degree,Woman,White,85000.0,21.0
45-54,Computing or Tech,Director,188000,55000.0,Minnesota,Minneapolis,21 - 30 years,11 - 20 years,College degree,Man,White,243000.0,27.0
25-34,Education (Higher Education),Assistant Professor,60000,0.0,Texas,Austin,8 - 10 years,5-7 years,PhD,Man,White,60000.0,48.0
35-44,Computing or Tech, Senior DevOps Engineer,131000,13100.0,Utah,Orem,11 - 20 years,11 - 20 years,Some college,Man,White,144100.0,49.0
25-34,Law,Case Manager,46280,1500.0,Maine,Portland,8 - 10 years,2 - 4 years,Some college,Woman,White,47780.0,23.0
35-44,Nonprofits,HR Manager,92000,0.0,Pennsylvania,Chester,11 - 20 years,11 - 20 years,College degree,Woman,White,92000.0,42.0
25-34,Computing or Tech,Level 2 Sys Admin,55000,6000.0,Indiana,Indianapolis,5-7 years,5-7 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer,61000.0,18.0
25-34,Education (Higher Education),Career Advisor,38500,0.0,Ohio,"Akron, Ohio",2 - 4 years,2 - 4 years,Master's degree,Man,White,38500.0,39.0
35-44,Computing or Tech,Software Team Lead,270000,70000.0,New York,New York City,21 - 30 years,21 - 30 years,Some college,Man,White,340000.0,36.0
35-44,Computing or Tech,Senior Front End Web Developer,110000,0.0,Oregon,Portland,21 - 30 years,11 - 20 years,College degree,Man,White,110000.0,41.0
35-44,Computing or Tech,Product Manager,165000,0.0,New Mexico,Santa Fe,11 - 20 years,11 - 20 years,College degree,Man,White,165000.0,35.0
18-24,"Accounting, Banking & Finance",Pricing associate,57500,0.0,Virginia,Reston,1 year or less,1 year or less,College degree,Woman,White,57500.0,51.0
55-64,Education (Higher Education),Accounts Receivable Associate,48000,500.0,Texas,Frisco,31 - 40 years,5-7 years,College degree,Woman,White,48500.0,48.0
35-44,Health care,Pharmacy Technician,34000,0.0,Pennsylvania,Lancaster,11 - 20 years,8 - 10 years,Some college,Woman,White,34000.0,42.0
25-34,Education (Primary/Secondary),Director of Finance and Operations,56000,0.0,Illinois,Chicago,8 - 10 years,2 - 4 years,College degree,Woman,White,56000.0,17.0
25-34,Computing or Tech,Senior Software Developer,120000,0.0,Utah,Saratoga Springs,8 - 10 years,8 - 10 years,College degree,Man,White,120000.0,49.0
35-44,Government and Public Administration,IT Specialist,92000,10000.0,Georgia,Atlanta,11 - 20 years,11 - 20 years,Master's degree,Woman,White,102000.0,13.0
35-44,Computing or Tech,DevOps Engineer,102500,0.0,Texas,Austin,11 - 20 years,11 - 20 years,Master's degree,Man,White,102500.0,48.0
45-54,Computing or Tech,"Director, Product Management",147000,0.0,California,Los Angeles,21 - 30 years,11 - 20 years,College degree,Woman,"Native American or Alaska Native, White",147000.0,6.0
35-44,"Accounting, Banking & Finance",Human Resources Compliance Advisor,80000,0.0,Texas,San Antonio,8 - 10 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer,80000.0,48.0
25-34,"Marketing, Advertising & PR",Content Specialist ,68000,0.0,Massachusetts,Cambridge ,5-7 years,2 - 4 years,College degree,Woman,Black or African American,68000.0,25.0
25-34,Computing or Tech,Software Engineer,155000,0.0,New Jersey,Remote (this shouldn't be required),5-7 years,5-7 years,Master's degree,Man,"Hispanic, Latino, or Spanish origin, White",155000.0,34.0
35-44,Computing or Tech,Senior Software Engineer,180000,0.0,California,San Francisco,11 - 20 years,11 - 20 years,High School,Man,White,180000.0,6.0
25-34,Health care,Medical Technologist,57850,13000.0,Michigan,Ann Arbor,5-7 years,2 - 4 years,College degree,Non-binary,White,70850.0,26.0
25-34,Nonprofits,Professional Development Manager,57000,750.0,Virginia,Arlington,11 - 20 years,8 - 10 years,College degree,Woman,White,57750.0,51.0
35-44,Nonprofits,Project manager,46000,0.0,Colorado,Denver,11 - 20 years,11 - 20 years,College degree,Man,White,46000.0,8.0
45-54,"Accounting, Banking & Finance",Senior Frontend Developer,140000,0.0,Utah,Lehi,11 - 20 years,11 - 20 years,Some college,Man,White,140000.0,49.0
35-44,Engineering or Manufacturing,Senior Engineering Technician,70000,0.0,Ohio,Cincinnati,11 - 20 years,11 - 20 years,College degree,Woman,White,70000.0,39.0
25-34,"Accounting, Banking & Finance",Director of Technology,150000,100000.0,California,San Francisco,11 - 20 years,8 - 10 years,College degree,Woman,White,250000.0,6.0
25-34,"Marketing, Advertising & PR",Marketing manager,88500,500.0,Florida,Coconut creek,11 - 20 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin",89000.0,12.0
35-44,Computing or Tech,Staff Engineer,230000,20000.0,California,San Francisco,11 - 20 years,11 - 20 years,College degree,Man,White,250000.0,6.0
35-44,Engineering or Manufacturing,Engineering manager,140000,15000.0,Washington,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White,155000.0,53.0
25-34,Education (Higher Education),Assistant Director of Admission,47000,0.0,Texas,Irving,5-7 years,5-7 years,Master's degree,Woman,White,47000.0,48.0
25-34,Education (Primary/Secondary),Teacher,48809,0.0,Michigan,Allen Park,8 - 10 years,8 - 10 years,Master's degree,Woman,White,48809.0,26.0
25-34,"Marketing, Advertising & PR",Strategy Director ,107500,50000.0,District of Columbia,Washington DC,8 - 10 years,8 - 10 years,College degree,Woman,White,157500.0,11.0
45-54,Nonprofits,Development associate,33280,0.0,Texas,Houston,8 - 10 years,5-7 years,College degree,Woman,White,33280.0,48.0
35-44,Law,Senior Counsel,150000,25000.0,Arizona,Phoenix ,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,White,175000.0,4.0
35-44,Computing or Tech,Product Manager,101291,10000.0,Texas,"Dallas, Texas",11 - 20 years,2 - 4 years,Master's degree,Woman,White,111291.0,48.0
25-34,Law,Counsel,115000,25000.0,Massachusetts,Boston,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White,140000.0,25.0
25-34,Health care,Patient Services Coordinator II,44325,0.0,Massachusetts,Boston,5-7 years,5-7 years,College degree,Man,White,44325.0,25.0
25-34,Nonprofits,College Success,60000,0.0,New York,NYC,5-7 years,2 - 4 years,Master's degree,Woman,Asian or Asian American,60000.0,36.0
25-34,Nonprofits,Development Associate,53000,0.0,District of Columbia,Washington DC,2 - 4 years,1 year or less,College degree,Woman,White,53000.0,11.0
25-34,"Marketing, Advertising & PR","Director, External Communications ",154000,30000.0,Pennsylvania,Pittsburgh ,11 - 20 years,11 - 20 years,Master's degree,Woman,White,184000.0,42.0
45-54,Nonprofits,"Assistant Director, Benefits",66310,0.0,Missouri,Saint Louis,21 - 30 years,11 - 20 years,College degree,Woman,White,66310.0,29.0
35-44,Computing or Tech,Senior Software Engineer,170000,0.0,California,Culver City,11 - 20 years,11 - 20 years,College degree,Man,White,170000.0,6.0
25-34,Computing or Tech,Software Developer,98500,6000.0,Florida,Gainesville,11 - 20 years,11 - 20 years,College degree,Man,White,104500.0,12.0
25-34,"Marketing, Advertising & PR",Senior Account Executive,62000,2500.0,Arizona,Phoenix,8 - 10 years,8 - 10 years,Master's degree,Woman,White,64500.0,4.0
35-44,Computing or Tech,IT Systems Analyst,131000,25000.0,California,San Diego,21 - 30 years,1 year or less,Some college,Woman,Asian or Asian American,156000.0,6.0
35-44,Education (Higher Education),Academic Services Coord,40900,1800.0,Tennessee,Memphis,21 - 30 years,11 - 20 years,College degree,Woman,White,42700.0,47.0
45-54,Computing or Tech,Product Owner / Project Manager,110000,5000.0,Georgia,Augusta - remote,11 - 20 years,11 - 20 years,College degree,Woman,White,115000.0,13.0
35-44,Computing or Tech,Software Architect,157000,15000.0,Texas,Houston,11 - 20 years,11 - 20 years,College degree,Man,Asian or Asian American,172000.0,48.0
25-34,Nonprofits,Conservation program assistant ,35000,0.0,Massachusetts,Metro-west,2 - 4 years,2 - 4 years,College degree,Man,White,35000.0,25.0
35-44,Education (Higher Education),Senior Web Engineer,80780,0.0,Wisconsin,Milwaukee,11 - 20 years,11 - 20 years,Master's degree,Man,White,80780.0,55.0
25-34,Education (Higher Education),Processing Archivist,63000,0.0,Michigan,Ann Arbor,11 - 20 years,11 - 20 years,Master's degree,Other or prefer not to answer,White,63000.0,26.0
25-34,Computing or Tech,Lead Product Writer,125000,0.0,New York,Brooklyn,8 - 10 years,5-7 years,College degree,Man,White,125000.0,36.0
25-34,Nonprofits,Client Engagement Manager,57000,0.0,Maryland,Annapolis,5-7 years,5-7 years,College degree,Woman,White,57000.0,24.0
